employee_id,name,department_id,position_id,subsidiary,hire_date,salary,email,status
E-1001,Carol Leo,D-27,P-94,saas,2021-06-20,25861,EMP1001@MERIDIAN.COM,active
E-1002,Jack David,D-33,P-38,retail,27-03-2023,"$31,807.00",emp1002@meridian.com,active
E-1003,PAUL CAROL,D-4,P-70,retail,12/11/2021,51024,emp1003@meridian.com,active
E-1004,  Xu Grace  ,D-34,P-110,retail,09/01/2017,52 162,emp1004@meridian.com,left
E-1005,Xu Nick,D-39,P-60,mfg,2018-07-09,15491,  emp1005@meridian. co  ,active
E-1006,  Liu Umar  ,D-17,P-56,retail,12/23/2026,"$58,651.00",emp1006@meridian.com,left
E-1007,zhang olive,D-6,P-119,mfg,03/12/2015,19560,  emp1007@meridian.COM  ,active
E-1008,  Leo David  ,D-22,P-52,saas,11/06/2021,"$42,584.00",emp1008@meridian. co,active
E-1009,ZHANG SAM,D-36,P-88,mfg,2023-06-20,46983,  emp1009@meridian.com  ,active
E-1010,Zhao Wendy,D-8,P-37,mfg,07/12/2021,29428,  emp1010@meridian.com  ,active
E-1011,Quinn Hu,D-32,P-87,retail,09/13/2017,"7 039,00",EMP1011@MERIDIAN. CO,active
E-1012,Zane Chen,D-23,P-112,mfg,11/06/2025,"$25,704.00",  emp1012@meridian. co  ,active
E-1013,GUO QUINN,D-30,P-85,mfg,04/21/2018,"$28,576.00",EMP1013@MERIDIAN. CO,active
E-1014,Carol Paul,D-25,P-33,retail,2024-08-08,"48 799,00",EMP1014@MERIDIAN. CO,left
E-1015,LEO WU,D-37,P-90,mfg,27-09-2019,54908,EMP1015@MERIDIAN.COM,left
E-1016,Alice Li,D-3,P-103,retail,2022-06-10,30736,emp1016@meridian.com,active
E-1017,Zane Bob,D-10,P-75,saas,06-01-2017,"20 157,00",emp1017@meridian.com,active
E-1018,zhao guo,D-19,P-11,mfg,08/01/2026,"$51,926.00",EMP1018@MERIDIAN.COM,active
E-1019,  Nick David  ,D-28,P-111,retail,2022-01-23,31347,EMP1019@MERIDIAN.COM,left
E-1020,david lin,D-4,P-110,saas,07-10-2019,27548,  emp1020@meridian.com  ,active
E-1021,Guo David,D-35,P-3,mfg,11/17/2023,43 709,  emp1021@meridian.COM  ,left
E-1022,Alice Wu,D-25,P-107,retail,2017-10-02,5562,EMP1022@MERIDIAN.COM,active
E-1023,Eve Wendy,D-30,P-70,retail,02/23/2025,"$48,880.00",emp1023@meridian. co,active
E-1024,  Xavier Chen  ,D-29,P-12,retail,2020-04-08,31970,emp1024@meridian.com,left
E-1025,Wu Wu,D-12,P-11,retail,22-10-2022,14308,  emp1025@meridian.COM  ,active
E-1026,Vera David,D-35,P-65,retail,2018-12-14,"$40,003.00",emp1026@meridian. co,active
E-1027,Nick Zane,D-27,P-74,retail,16-03-2023,"38 419,00",emp1027@meridian.com,active
E-1028,  Mona Wendy  ,D-35,P-43,retail,2021-03-06,7003,  emp1028@meridian.com  ,left
E-1029,  Olive Li  ,D-3,P-45,retail,2026-10-24,16883,emp1029@meridian. co,active
E-1030,Zhao Alice,D-31,P-25,mfg,2025-03-27,"$20,476.00",emp1030@meridian. co,active
E-1031,Wu Wang,D-40,P-50,retail,02/18/2016,8463,  emp1031@meridian.COM  ,active
E-1032,Eve Ivy,D-34,P-10,mfg,2021-09-20,"$11,537.00",  emp1032@meridian.com  ,active
E-1033,Ivy Wendy,D-24,P-3,retail,2015-09-12,43321,emp1033@meridian.com,active
E-1034,OLIVE SAM,D-31,P-81,mfg,2018-10-23,16770,emp1034@meridian. co,active
E-1035,ZHOU HENRY,D-31,P-8,retail,02/05/2022,34 511,emp1035@meridian. co,active
E-1036,Jack Sun,D-37,P-98,retail,2021-10-13,23621,emp1036@meridian.com,active
E-1037,Zhang Leo,D-31,P-80,retail,18-05-2019,13779,  emp1037@meridian. co  ,active
E-1038,Sun Chen,D-13,P-89,retail,2015-03-02,10695,EMP1038@MERIDIAN.COM,active
E-1039,VERA TINA,D-35,P-25,mfg,2021-01-12,"32 441,00",emp1039@meridian. co,active
E-1040,xavier zhou,D-7,P-45,mfg,20-03-2022,"$44,131.00",emp1040@meridian.com,active
E-1041,Nick Yuki,D-33,P-101,mfg,2017-02-05,26541,emp1041@meridian. co,left
E-1042,HU DAVID,D-2,P-21,saas,2021-12-03,40177,emp1042@meridian.com,active
E-1043,Yuki Hu,D-10,P-31,retail,12/26/2023,"$51,827.00",  emp1043@meridian. co  ,left
E-1044,Xavier Henry,D-26,P-82,saas,12/10/2015,28 327,emp1044@meridian. co,active
E-1045,  Zane Jack  ,D-9,P-80,retail,2020-12-07,33719,emp1045@meridian.COM,active
E-1046,Wendy Li,D-19,P-49,mfg,2020-12-05,18411,emp1046@meridian. co,active
E-1047,EVE XU,D-21,P-79,retail,12/06/2022,44 219,emp1047@meridian.COM,left
E-1048,GUO ROSE,D-34,P-20,retail,11/03/2023,"58 783,00",  emp1048@meridian. co  ,active
E-1049,CAROL QUINN,D-8,P-18,saas,06/28/2021,58163,emp1049@meridian.COM,active
E-1050,Sun Liu,D-37,P-31,mfg,14-08-2022,55061,  emp1050@meridian.com  ,left
E-1051,Zhang Li,D-21,P-103,mfg,19-01-2023,"$36,463.00",emp1051@meridian.com,active
E-1052,  Quinn Guo  ,D-15,P-3,retail,16-01-2026,17 954,  emp1052@meridian. co  ,active
E-1053,MONA ZANE,D-32,P-26,retail,2024-02-24,"$33,478.00",emp1053@meridian.com,left
E-1054,  Carol Sam  ,D-40,P-14,mfg,2015-04-01,"$33,264.00",EMP1054@MERIDIAN. CO,active
E-1055,Guo Grace,D-13,P-23,mfg,02/13/2026,35796,EMP1055@MERIDIAN.COM,active
E-1056,tina tina,D-34,P-85,mfg,2025-10-24,29140,emp1056@meridian.com,active
E-1057,Zane Eve,D-23,P-39,retail,25-09-2022,9925,EMP1057@MERIDIAN. CO,active
E-1058,Wu Rose,D-16,P-27,mfg,2022-03-15,"$26,495.00",  emp1058@meridian.com  ,active
E-1059,Quinn Sam,D-14,P-51,retail,2023-02-16,30557,emp1059@meridian.COM,active
E-1060,Sun Li,D-11,P-120,retail,07/27/2021,9109,  emp1060@meridian.COM  ,active
E-1061,Xavier Rose,D-38,P-23,retail,2016-04-09,"$55,458.00",emp1061@meridian. co,active
E-1062,Wang Sam,D-6,P-75,retail,02-01-2021,"$22,231.00",emp1062@meridian. co,left
E-1063,YUKI ROSE,D-38,P-25,mfg,03/06/2020,27187,emp1063@meridian.COM,active
E-1064,Sam Xavier,D-6,P-62,retail,06/09/2024,48541,emp1064@meridian.com,active
E-1065,Lin Carol,D-38,P-60,retail,2022-11-10,22631,  emp1065@meridian.com  ,active
E-1066,  Tina Tina  ,D-16,P-115,mfg,2024-09-25,31078,  emp1066@meridian.com  ,active
E-1067,  David Ivy  ,D-34,P-76,retail,03/05/2023,"$39,012.00",EMP1067@MERIDIAN.COM,active
E-1068,Wendy Sun,D-27,P-33,saas,2016-07-05,23850,  emp1068@meridian. co  ,active
E-1069,  Umar Nick  ,D-27,P-94,mfg,11/23/2022,27671,EMP1069@MERIDIAN.COM,active
E-1070,Nick Umar,D-18,P-43,retail,2020-08-28,"21 907,00",EMP1070@MERIDIAN.COM,left
E-1071,JACK LIN,D-28,P-76,mfg,03/26/2021,"$19,783.00",emp1071@meridian.com,active
E-1072,Liu Frank,D-3,P-61,retail,11-03-2026,58844,emp1072@meridian. co,active
E-1073,quinn yuki,D-9,P-29,retail,2021-04-14,"37 005,00",  emp1073@meridian.com  ,active
E-1074,MONA WU,D-33,P-119,retail,2023-10-17,49490,emp1074@meridian.com,active
E-1075,Mona Zane,D-28,P-91,retail,10-08-2023,"$37,324.00",emp1075@meridian. co,active
E-1076,VERA LIN,D-16,P-45,retail,09/14/2026,5053,EMP1076@MERIDIAN.COM,active
E-1077,PAUL DAVID,D-31,P-44,saas,01/18/2019,"$29,744.00",EMP1077@MERIDIAN. CO,active
E-1078,TINA HU,D-8,P-96,mfg,2016-05-11,"44 041,00",EMP1078@MERIDIAN.COM,active
E-1079,ALICE QUINN,D-10,P-22,retail,2023-10-04,"$53,464.00",emp1079@meridian.com,left
E-1080,Olive Yuki,D-37,P-60,mfg,2019-09-27,"24 783,00",  emp1080@meridian.COM  ,active
E-1081,SUN HENRY,D-20,P-76,retail,2020-11-11,"$46,907.00",EMP1081@MERIDIAN.COM,active
E-1082,VERA QUINN,D-7,P-98,mfg,20-01-2021,"$58,735.00",emp1082@meridian.com,left
E-1083,Vera Xavier,D-37,P-10,saas,2017-08-20,"$43,559.00",EMP1083@MERIDIAN.COM,active
E-1084,Carol Liu,D-17,P-111,mfg,04/08/2016,"$17,398.00",EMP1084@MERIDIAN.COM,active
E-1085,wu paul,D-1,P-87,saas,2020-12-28,"$47,403.00",EMP1085@MERIDIAN. CO,active
E-1086,Mona Sam,D-33,P-1,mfg,2019-07-02,"$53,945.00",  emp1086@meridian.com  ,active
E-1087,li carol,D-13,P-13,retail,03/11/2021,"30 907,00",EMP1087@MERIDIAN. CO,active
E-1088,Paul David,D-27,P-112,retail,23-10-2022,"48 046,00",  emp1088@meridian. co  ,active
E-1089,PAUL OLIVE,D-7,P-76,saas,2025-10-27,"$33,364.00",EMP1089@MERIDIAN. CO,active
E-1090,Zane Tina,D-28,P-60,retail,2016-01-07,"$36,742.00",emp1090@meridian. co,active
E-1091,LEO CAROL,D-37,P-63,mfg,10/01/2019,12694,emp1091@meridian.com,active
