customer_id,company_name,email,contact_name,signup_date,tier
SC-1,CYBERDYNE (-100),acct100@example.com,Alice Henry,2022-01-15,paid
SC-2,BLACK MESA (-101),acct101@corp.net,Bob Ivy,2022-01-15,paid
SC-3,OSCORP (-102),acct102@biz.org,Carol Jack,2022-01-15,paid
SC-4,ACME CORP (-103),acct103@example.com,David Karen,2022-01-15,paid
SC-5,APERTURE (-104),acct104@corp.net,Eve Leo,2022-01-15,paid
SC-6,WEYLAND-YUTANI (-105),acct105@biz.org,Frank Mona,2022-01-15,paid
SC-7,BLACK MESA (-106),acct106@example.com,Grace Nick,2022-01-15,paid
SC-8,INITECH (-107),acct107@corp.net,Henry Olive,2022-01-15,paid
SC-9,MASSIVE DYNAMIC (-108),acct108@biz.org,Ivy Paul,2022-01-15,paid
SC-10,WEYLAND-YUTANI (-109),acct109@example.com,Jack Quinn,2022-01-15,paid
SC-11,BLACK MESA (-110),acct110@corp.net,Karen Rose,2022-01-15,paid
SC-12,MASSIVE DYNAMIC (-111),acct111@biz.org,Leo Sam,2022-01-15,paid
SC-13,WAYNE ENTERPRISES (-112),acct112@example.com,Mona Tina,2022-01-15,paid
SC-14,CYBERDYNE (-113),acct113@corp.net,Nick Umar,2022-01-15,paid
SC-15,TYRELL CORP (-114),acct114@biz.org,Olive Vera,2022-01-15,paid
SC-16,WAYNE ENTERPRISES (-115),acct115@example.com,Paul Wendy,2022-01-15,paid
SC-17,WONKA (-116),acct116@corp.net,Quinn Xavier,2022-01-15,paid
SC-18,HOOLI (-117),acct117@biz.org,Rose Yuki,2022-01-15,paid
SC-19,OSCORP (-118),acct118@example.com,Sam Zane,2022-01-15,paid
SC-20,APERTURE (-119),acct119@corp.net,Tina Chen,2022-01-15,paid
SC-21,DUNDER MIFFLIN (-120),acct120@biz.org,Umar Liu,2022-01-15,paid
SC-22,LEXCORP (-121),acct121@example.com,Vera Wang,2022-01-15,paid
SC-23,WEYLAND-YUTANI (-122),acct122@corp.net,Wendy Zhang,2022-01-15,paid
SC-24,WEYLAND-YUTANI (-123),acct123@biz.org,Xavier Li,2022-01-15,paid
SC-25,VANDELAY (-124),acct124@example.com,Yuki Zhao,2022-01-15,paid
SC-26,MASSIVE DYNAMIC (-125),acct125@corp.net,Zane Sun,2022-01-15,paid
SC-27,WONKA (-126),acct126@biz.org,Chen Wu,2022-01-15,paid
SC-28,HOOLI (-127),acct127@example.com,Liu Zhou,2022-01-15,paid
SC-29,BLUE SUN (-128),acct128@corp.net,Wang Wu,2022-01-15,paid
SC-30,INITECH (-129),acct129@biz.org,Zhang Xu,2022-01-15,paid
SC-31,MASSIVE DYNAMIC (-130),acct130@example.com,Li Hu,2022-01-15,paid
SC-32,APERTURE (-131),acct131@corp.net,Zhao Guo,2022-01-15,paid
SC-33,MASSIVE DYNAMIC (-132),acct132@biz.org,Sun Lin,2022-01-15,paid
SC-34,HOOLI (-133),acct133@example.com,Wu Alice,2022-01-15,paid
SC-35,HOOLI (-134),acct134@corp.net,Zhou Bob,2022-01-15,paid
SC-36,UMBRELLA CO (-135),acct135@biz.org,Wu Carol,2022-01-15,paid
SC-37,TYRELL CORP (-136),acct136@example.com,Xu David,2022-01-15,paid
SC-38,GLOBEX (-137),acct137@corp.net,Hu Eve,2022-01-15,paid
SC-39,ACME CORP (-138),acct138@biz.org,Guo Frank,2022-01-15,paid
SC-40,STARK INDUSTRIES (-139),acct139@example.com,Lin Grace,2022-01-15,paid
SC-41,INITECH (-140),acct140@corp.net,Alice Henry,2022-01-15,paid
SC-42,HOOLI (-141),acct141@biz.org,Bob Ivy,2022-01-15,paid
SC-43,BLUE SUN (-142),acct142@example.com,Carol Jack,2022-01-15,paid
SC-44,ACME CORP (-143),acct143@corp.net,David Karen,2022-01-15,paid
SC-45,CYBERDYNE (-144),acct144@biz.org,Eve Leo,2022-01-15,paid
SC-46,TYRELL CORP (-145),acct145@example.com,Frank Mona,2022-01-15,paid
SC-47,WAYNE ENTERPRISES (-146),acct146@corp.net,Grace Nick,2022-01-15,paid
SC-48,HOOLI (-147),acct147@biz.org,Henry Olive,2022-01-15,paid
SC-49,WEYLAND-YUTANI (-148),acct148@example.com,Ivy Paul,2022-01-15,paid
SC-50,BLACK MESA (-149),acct149@corp.net,Jack Quinn,2022-01-15,paid
SC-51,WEYLAND-YUTANI (-150),acct150@biz.org,Karen Rose,2022-01-15,paid
SC-52,PIED PIPER (-151),acct151@example.com,Leo Sam,2022-01-15,paid
SC-53,WEYLAND-YUTANI (-152),acct152@corp.net,Mona Tina,2022-01-15,paid
SC-54,WAYNE ENTERPRISES (-153),acct153@biz.org,Nick Umar,2022-01-15,paid
SC-55,DUNDER MIFFLIN (-154),acct154@example.com,Olive Vera,2022-01-15,paid
SC-56,ACME CORP (-155),acct155@corp.net,Paul Wendy,2022-01-15,paid
SC-57,UMBRELLA CO (-156),acct156@biz.org,Quinn Xavier,2022-01-15,paid
SC-58,WONKA (-157),acct157@example.com,Rose Yuki,2022-01-15,paid
SC-59,ACME CORP (-158),acct158@corp.net,Sam Zane,2022-01-15,paid
SC-60,ACME CORP (-159),acct159@biz.org,Tina Chen,2022-01-15,paid
SC-61,LEXCORP (-160),acct160@example.com,Umar Liu,2022-01-15,paid
SC-62,CYBERDYNE (-161),acct161@corp.net,Vera Wang,2022-01-15,paid
SC-63,MASSIVE DYNAMIC (-162),acct162@biz.org,Wendy Zhang,2022-01-15,paid
SC-64,HOOLI (-163),acct163@example.com,Xavier Li,2022-01-15,paid
SC-65,TYRELL CORP (-164),acct164@corp.net,Yuki Zhao,2022-01-15,paid
SC-66,HOOLI (-165),acct165@biz.org,Zane Sun,2022-01-15,paid
SC-67,CYBERDYNE (-166),acct166@example.com,Chen Wu,2022-01-15,paid
SC-68,VANDELAY (-167),acct167@corp.net,Liu Zhou,2022-01-15,paid
SC-69,WAYNE ENTERPRISES (-168),acct168@biz.org,Wang Wu,2022-01-15,paid
SC-70,WEYLAND-YUTANI (-169),acct169@example.com,Zhang Xu,2022-01-15,paid
SC-71,BLUE SUN (-170),acct170@corp.net,Li Hu,2022-01-15,paid
SC-72,WAYNE ENTERPRISES (-171),acct171@biz.org,Zhao Guo,2022-01-15,paid
SC-73,APERTURE (-172),acct172@example.com,Sun Lin,2022-01-15,paid
SC-74,TYRELL CORP (-173),acct173@corp.net,Wu Alice,2022-01-15,paid
SC-75,APERTURE (-174),acct174@biz.org,Zhou Bob,2022-01-15,paid
SC-76,UMBRELLA CO (-175),acct175@example.com,Wu Carol,2022-01-15,paid
SC-77,STARK INDUSTRIES (-176),acct176@corp.net,Xu David,2022-01-15,paid
SC-78,ACME CORP (-177),acct177@biz.org,Hu Eve,2022-01-15,paid
SC-79,APERTURE (-178),acct178@example.com,Guo Frank,2022-01-15,paid
SC-80,BLACK MESA (-179),acct179@corp.net,Lin Grace,2022-01-15,paid
SC-81,VANDELAY (-180),acct180@biz.org,Alice Henry,2022-01-15,paid
SC-82,VANDELAY (-181),acct181@example.com,Bob Ivy,2022-01-15,paid
SC-83,APERTURE (-182),acct182@corp.net,Carol Jack,2022-01-15,paid
SC-84,BLACK MESA (-183),acct183@biz.org,David Karen,2022-01-15,paid
SC-85,BLUE SUN (-184),acct184@example.com,Eve Leo,2022-01-15,paid
SC-86,BLACK MESA (-185),acct185@corp.net,Frank Mona,2022-01-15,paid
SC-87,WAYNE ENTERPRISES (-186),acct186@biz.org,Grace Nick,2022-01-15,paid
SC-88,DUNDER MIFFLIN (-187),acct187@example.com,Henry Olive,2022-01-15,paid
SC-89,CYBERDYNE (-188),acct188@corp.net,Ivy Paul,2022-01-15,paid
SC-90,ACME CORP (-189),acct189@biz.org,Jack Quinn,2022-01-15,paid
SC-91,APERTURE (-190),acct190@example.com,Karen Rose,2022-01-15,paid
SC-92,BLACK MESA (-191),acct191@corp.net,Leo Sam,2022-01-15,paid
SC-93,VANDELAY (-192),acct192@biz.org,Mona Tina,2022-01-15,paid
SC-94,CYBERDYNE (-193),acct193@example.com,Nick Umar,2022-01-15,paid
SC-95,BLACK MESA (-194),acct194@corp.net,Olive Vera,2022-01-15,paid
SC-96,WEYLAND-YUTANI (-195),acct195@biz.org,Paul Wendy,2022-01-15,paid
SC-97,GLOBEX (-196),acct196@example.com,Quinn Xavier,2022-01-15,paid
SC-98,VANDELAY (-197),acct197@corp.net,Rose Yuki,2022-01-15,paid
SC-99,UMBRELLA CO (-198),acct198@biz.org,Sam Zane,2022-01-15,paid
SC-100,UMBRELLA CO (-199),acct199@example.com,Tina Chen,2022-01-15,paid
SC-101,ACME CORP (-200),acct200@corp.net,Umar Liu,2022-01-15,paid
SC-102,HOOLI (-201),acct201@biz.org,Vera Wang,2022-01-15,paid
SC-103,WONKA (-202),acct202@example.com,Wendy Zhang,2022-01-15,paid
SC-104,GLOBEX (-203),acct203@corp.net,Xavier Li,2022-01-15,paid
SC-105,BLUE SUN (-204),acct204@biz.org,Yuki Zhao,2022-01-15,paid
SC-106,WONKA (-205),acct205@example.com,Zane Sun,2022-01-15,paid
SC-107,WAYNE ENTERPRISES (-206),acct206@corp.net,Chen Wu,2022-01-15,paid
SC-108,UMBRELLA CO (-207),acct207@biz.org,Liu Zhou,2022-01-15,paid
SC-109,VANDELAY (-208),acct208@example.com,Wang Wu,2022-01-15,paid
SC-110,VANDELAY (-209),acct209@corp.net,Zhang Xu,2022-01-15,paid
SC-111,Massive Dynamic CLOUD#27,saas110@cloud.io,  Wang Sun  ,2026-07-01,paid
SC-112,  Blue Sun CLOUD#28  ,SAAS111@TECH.COM,Chen Zhou,2023-08-14,FREE
SC-113,Weyland-Yutani CLOUD#29,saas112@tech.com,ZHOU WU,02-06-2022,PAID
SC-114,LexCorp CLOUD#30,saas113@tech.com,Leo Tina,06/22/2021,paid
SC-115,  Globex CLOUD#31  ,saas114@cloud.io,Vera Liu,26-10-2021,paid
SC-116,Vandelay CLOUD#32,saas115@cloud.io,LI LIU,06/28/2026,FREE
SC-117,vandelay cloud#33,  saas116@tech.com  ,  Li David  ,2021-06-20,PAID
SC-118,  Weyland-Yutani CLOUD#34  ,SAAS117@DIGITAL.NET,HU ALICE,2022-01-23,free
SC-119,  Cyberdyne CLOUD#35  ,saas118@digital.net,  Guo Mona  ,2026-09-22,paid
SC-120,Aperture CLOUD#36,saas119@digital.net,  Zhou Wu  ,28-10-2026,PAID
SC-121,Wonka CLOUD#37,SAAS120@DIGITAL.NET,  Paul Wendy  ,2025-07-16,FREE
SC-122,LexCorp CLOUD#38,saas121@cloud.io,  Hu Guo  ,2021-12-06,paid
SC-123,Cyberdyne CLOUD#39,saas122@digital.net,  Jack Nick  ,2026-07-14,paid
SC-124,Blue Sun CLOUD#40,SAAS123@DIGITAL.NET,Henry Paul,2025-02-10,paid
SC-125,Globex CLOUD#41,saas124@cloud.io,XU CHEN,01/20/2025,free
SC-126,Massive Dynamic CLOUD#42,saas125@tech.com,Li David,14-09-2025,paid
SC-127,Oscorp CLOUD#43,SAAS126@DIGITAL.NET,PAUL ALICE,10/14/2026,paid
SC-128,WONKA CLOUD#44,  saas127@cloud.io  ,  Zhou Grace  ,03/16/2023,paid
SC-129,  Cyberdyne CLOUD#45  ,saas128@digital.net,  Henry Jack  ,2025-06-11,free
SC-130,Hooli CLOUD#46,  saas129@tech.com  ,Frank Bob,2023-12-14,FREE
SC-131,WONKA CLOUD#47,saas130@tech.com,Jack Sam,05/21/2024,free
SC-132,Initech CLOUD#48,saas131@cloud.io,Alice Zhou,05/26/2021,free
SC-133,  Globex CLOUD#49  ,saas132@cloud.io,  Wu Paul  ,02/09/2023,free
SC-134,Hooli CLOUD#50,  saas133@cloud.io  ,ALICE LEO,2022-10-01,paid
SC-135,INITECH CLOUD#51,saas134@digital.net,  Alice Rose  ,2021-08-28,free
SC-136,Wayne Enterprises CLOUD#52,saas135@cloud.io,Nick Bob,15-06-2023,paid
SC-137,Massive Dynamic CLOUD#53,SAAS136@TECH.COM,Rose Nick,2021-09-01,FREE
SC-138,  Wonka CLOUD#54  ,saas137@digital.net,Zane Yuki,09/25/2022,PAID
SC-139,WAYNE ENTERPRISES CLOUD#55,saas138@digital.net,QUINN SAM,2023-09-20,paid
SC-140,  Massive Dynamic CLOUD#56  ,SAAS139@TECH.COM,SAM ROSE,01/01/2026,FREE
SC-141,Hooli CLOUD#57,  saas140@digital.net  ,  Chen Nick  ,28-05-2026,paid
SC-142,UMBRELLA CO CLOUD#58,  saas141@tech.com  ,IVY UMAR,05/17/2021,PAID
SC-143,Initech CLOUD#59,saas142@cloud.io,LIU GRACE,26-12-2024,paid
SC-144,  Initech CLOUD#60  ,SAAS143@CLOUD.IO,LIN XAVIER,2024-12-26,free
SC-145,Pied Piper CLOUD#61,saas144@cloud.io,  Li Wendy  ,12/07/2022,free
SC-146,Cyberdyne CLOUD#62,saas145@cloud.io,  Karen Li  ,2023-07-14,free
SC-147,Vandelay CLOUD#63,saas146@cloud.io,Zhao Ivy,21-01-2024,free
SC-148,  Wayne Enterprises CLOUD#64  ,SAAS147@CLOUD.IO,MONA NICK,2025-05-28,PAID
