lead_id,channel_id,company,email,created_at,quality
LD-1,CH-2,PIED PIPER LEAD0,LEAD0@LEADS.IO,2026-03-22,cold
LD-2,CH-7,oscorp lead1,lead1@prospect.com,2025-06-03,hot
LD-3,CH-4,LexCorp lead2,LEAD2@SALES.NET,02/15/2025,hot
LD-4,CH-3,GLOBEX LEAD3,lead3@prospect.com,12-11-2025,cold
LD-5,CH-8,LEXCORP LEAD4,lead4@prospect.com,2025-10-23,warm
LD-6,CH-7,Initech lead5,lead5@leads.io,2026-09-19,cold
LD-7,CH-7,  Vandelay lead6  ,lead6@leads.io,2026-08-18,cold
LD-8,CH-4,Initech lead7,lead7@sales.net,2026-08-02,HOT
LD-9,CH-6,UMBRELLA CO LEAD8,lead8@prospect.com,08/23/2026,HOT
LD-10,CH-7,Stark Industries lead9,lead9@leads.io,14-04-2026,hot
LD-11,CH-5,Wonka lead10,LEAD10@SALES.NET,2025-02-03,cold
LD-12,CH-4,  Oscorp lead11  ,lead11@leads.io,10/13/2026,cold
LD-13,CH-8,Weyland-Yutani lead12,lead12@leads.io,2025-06-20,cold
LD-14,CH-2,Tyrell Corp lead13,  lead13@leads.io  ,06/02/2026,warm
LD-15,CH-5,OSCORP LEAD14,lead14@sales.net,19-03-2025,hot
LD-16,CH-8,  Vandelay lead15  ,  lead15@leads.io  ,2026-01-26,HOT
LD-17,CH-8,Pied Piper lead16,  lead16@leads.io  ,07/19/2025,warm
LD-18,CH-7,Blue Sun lead17,LEAD17@PROSPECT.COM,2025-07-28,HOT
LD-19,CH-1,  Initech lead18  ,  lead18@leads.io  ,2025-12-24,warm
LD-20,CH-2,Wonka lead19,  lead19@sales.net  ,25-12-2026,cold
LD-21,CH-8,Wonka lead20,lead20@leads.io,15-02-2025,HOT
LD-22,CH-2,  Tyrell Corp lead21  ,lead21@sales.net,2025-03-26,hot
LD-23,CH-4,  Acme Corp lead22  ,  lead22@leads.io  ,03/18/2025,HOT
LD-24,CH-4,Wayne Enterprises lead23,lead23@leads.io,03/07/2026,hot
LD-25,CH-8,Blue Sun lead24,LEAD24@SALES.NET,02/16/2025,cold
LD-26,CH-2,WEYLAND-YUTANI LEAD25,lead25@sales.net,2026-05-23,hot
LD-27,CH-3,Massive Dynamic lead26,lead26@sales.net,2026-08-22,warm
LD-28,CH-2,Umbrella Co lead27,  lead27@prospect.com  ,08/17/2026,hot
LD-29,CH-4,hooli lead28,lead28@prospect.com,2025-06-19,hot
LD-30,CH-1,Vandelay lead29,lead29@sales.net,2025-11-15,cold
LD-31,CH-1,LexCorp lead30,lead30@prospect.com,18-06-2025,HOT
LD-32,CH-3,acme corp lead31,LEAD31@PROSPECT.COM,2026-04-06,hot
LD-33,CH-6,  Initech lead32  ,  lead32@prospect.com  ,2025-05-02,cold
LD-34,CH-1,Black Mesa lead33,LEAD33@LEADS.IO,2025-08-16,cold
LD-35,CH-1,Black Mesa lead34,lead34@prospect.com,10/08/2025,hot
LD-36,CH-6,umbrella co lead35,  lead35@leads.io  ,2025-03-13,cold
LD-37,CH-3,CYBERDYNE LEAD36,lead36@sales.net,02/05/2026,cold
LD-38,CH-2,Dunder Mifflin lead37,  lead37@prospect.com  ,2026-03-26,cold
LD-39,CH-5,tyrell corp lead38,LEAD38@LEADS.IO,03/03/2025,hot
LD-40,CH-5,  Dunder Mifflin lead39  ,lead39@prospect.com,09/07/2025,cold
